registro;Bullied_on_school_property_in_past_12_months;Bullied_not_on_school_property_in_past_12_months;Cyber_bullied_in_past_12_months;Custom_age;Sexo;Physicalmente;Física;FIENTO_LONELY;Close_friends;Miss_school_no_permission;Other_students_kind_and_helpful;Padres_understand_problems;Most_of_the_time_or_always_felt_lonely;Fallido_classes_or_school_without_permission;Were_undweight;Was_overweight;Were_obese
1;Yes;Yes; ;13 years old;Female;0 times;0 times;Always;2;10 or more days;Never;Always;Yes;Yes; ; ; 
2;No;No;No;13 years old;Female;0 times;0 times;Never;3 or more;0 days;Sometimes;Always;No;No; ; ; 
3;No;No;No;14 years old;Male;0 times;0 times;Never;3 or more;0 days;Sometimes;Always;No;No;No;No;No
4;No;No;No;16 years old;Male;0 times;2 or 3 times;Never;3 or more;0 days;Sometimes; ;No;No;No;No;No
5;No;No;No;13 years old;Female;0 times;0 times;Rarely;3 or more;0 days;Most of the time;Most of the time;No;No; ; ; 
6;No;No;No;13 years old;Male;0 times;1 time;Never;3 or more;0 days;Most of the time;Always;No;No;No;No;No
7;No;No;No;14 years old;Female;1 time;0 times;Sometimes;3 or more;0 days;Most of the time;Always;No;No; ; ; 
8;No;No;No;12 years old;Female;0 times;0 times;Rarely;3 or more;0 days;Most of the time;Never;No;No; ; ; 
9;No;No;No;13 years old;Male;1 time;2 or 3 times;Never;3 or more;6 to 9 days;Most of the time;Most of the time;No;Yes; ; ; 
10;Yes;No;No;14 years old;Female;0 times;0 times;Always;0;0 days;Sometimes;Never;Yes;No; ; ; 
