registro;Intimidado en la propiedad escolar en los últimos 12 meses;No intimidado en la propiedad escolar en los últimos 12 meses;Acosado cibernético en los últimos 12 meses;Edad personalizada;Sexo;Atacado físicamente;Lucha física;Felt_lonely;Close_friends;Señorita la escuela sin permiso;Other_students_kind_and_helpful;Parents_understand_problems;Most_of_the_time_or_always_felt_lonely;Clases o escuela perdidas sin permiso;Tenían bajo peso;Tenían sobrepeso;Were_obese
1;Sí;Sí; ;13 años;Female;0 veces;0 veces;Siempre;2;10 o más días;Nunca;Siempre;Sí;Sí; ; ; 
2;No;No;No;13 años;Female;0 veces;0 veces;Nunca;3 o más;0 días;A veces;Siempre;No;No; ; ; 
3;No;No;No;14 años;Male;0 veces;0 veces;Nunca;3 o más;0 días;A veces;Siempre;No;No;No;No;No
4;No;No;No;16 años;Male;0 veces;2 o 3 veces;Nunca;3 o más;0 días;A veces; ;No;No;No;No;No
5;No;No;No;13 años;Female;0 veces;0 veces;Casi nunca;3 o más;0 días;La mayor parte del tiempo;La mayor parte del tiempo;No;No; ; ; 
6;No;No;No;13 años;Male;0 veces;1 vez;Nunca;3 o más;0 días;La mayor parte del tiempo;Siempre;No;No;No;No;No
7;No;No;No;14 años;Female;1 vez;0 veces;A veces;3 o más;0 días;La mayor parte del tiempo;Siempre;No;No; ; ; 
8;No;No;No;12 años;Female;0 veces;0 veces;Casi nunca;3 o más;0 días;La mayor parte del tiempo;Nunca;No;No; ; ; 
9;No;No;No;13 años;Male;1 vez;2 o 3 veces;Nunca;3 o más;6 a 9 días;La mayor parte del tiempo;La mayor parte del tiempo;No;Sí; ; ; 
10;Sí;No;No;14 años;Female;0 veces;0 veces;Siempre;0;0 días;A veces;Nunca;Sí;No; ; ; 
